,30.37,37.13,42.09,
,P1Sum,P2Sum,P3Sum,
0.0,10,10,10,
0.1,10,10,10,
0.2,10,10,10,
0.3,10,10,10,
0.4,10,10,10,
0.5,10,10,10,
0.6,10,10,10,
0.7,10,10,10,
0.8,10,10,10,
0.9,10,10,10,
1.0,10,10,10,
1.1,10,10,10,
1.2,10,10,10,
1.3,10,10,10,
1.4,10,10,10,
1.5,10,10,10,
1.6,10,10,10,
1.7,10,10,10,
1.8,10,10,10,
1.9,10,10,10,
2.0,10,10,10,
2.1,10,10,10,
2.2,10,10,10,
2.3,10,10,10,
2.4,10,10,10,
2.5,10,10,10,
2.6,10,10,10,
2.7,10,10,10,
2.8,10,10,10,
2.9,10,10,10,
3.0,10,10,10,
3.1,10,10,10,
3.2,10,10,10,
3.3,10,10,10,
3.4,10,10,10,
3.5,10,10,10,
3.6,10,10,10,
3.7,10,10,10,
3.8,10,10,10,
3.9,10,10,10,
4.0,10,10,10,
4.1,10,10,10,
4.2,10,10,10,
4.3,10,10,10,
4.4,10,10,10,
4.5,10,10,10,
4.6,10,10,10,
4.7,10,10,10,
4.8,10,10,10,
4.9,10,10,10,
5.0,10,10,10,
5.1,10,10,10,
5.2,10,10,10,
5.3,10,10,10,
5.4,10,10,10,
5.5,10,10,10,
5.6,10,10,10,
5.7,10,10,10,
5.8,10,10,10,
5.9,10,10,10,
6.0,10,10,10,
6.1,10,10,10,
6.2,10,10,10,
6.3,10,10,10,
6.4,10,10,10,
6.5,10,10,10,
6.6,10,10,10,
6.7,10,10,10,
6.8,10,10,10,
6.9,10,10,10,
7.0,10,10,10,
7.1,10,10,10,
7.2,10,10,10,
7.3,10,10,10,
7.4,10,10,10,
7.5,10,10,10,
7.6,10,10,10,
7.7,10,10,10,
7.8,10,10,10,
7.9,10,10,10,
8.0,10,10,10,
8.1,10,10,10,
8.2,10,10,10,
8.3,10,10,10,
8.4,10,10,10,
8.5,10,10,10,
8.6,10,10,10,
8.7,10,10,10,
8.8,10,10,10,
8.9,10,10,10,
9.0,10,10,10,
9.1,10,10,10,
9.2,10,10,10,
9.3,10,10,10,
9.4,10,10,10,
9.5,10,10,10,
9.6,10,10,10,
9.7,10,10,10,
9.8,10,10,10,
9.9,10,10,10,
10.0,10,10,10,
10.1,10,10,10,
10.2,10,10,10,
10.3,10,10,10,
10.4,10,10,10,
10.5,10,10,10,
10.6,10,10,10,
10.7,10,10,10,
10.8,10,10,10,
10.9,10,10,10,
11.0,10,10,10,
11.1,10,10,10,
11.2,10,10,10,
11.3,10,10,10,
11.4,10,10,10,
11.5,10,10,10,
11.6,10,10,10,
11.7,10,10,10,
11.8,10,10,10,
11.9,10,10,10,
12.0,10,10,10,
12.1,10,10,10,
12.2,10,10,10,
12.3,10,10,10,
12.4,10,10,10,
12.5,10,10,10,
12.6,10,10,10,
12.7,10,10,10,
12.8,10,10,10,
12.9,10,10,10,
13.0,10,10,10,
13.1,10,10,10,
13.2,10,10,10,
13.3,10,10,10,
13.4,10,10,10,
13.5,10,10,10,
13.6,10,10,10,
13.7,10,10,10,
13.8,10,10,10,
13.9,10,10,10,
14.0,10,10,10,
14.1,10,10,10,
14.2,10,10,10,
14.3,10,10,10,
14.4,10,10,10,
14.5,10,10,10,
14.6,10,10,10,
14.7,10,10,10,
14.8,10,10,10,
14.9,10,10,10,
15.0,10,10,10,
15.1,10,10,10,
15.2,10,10,10,
15.3,10,10,10,
15.4,10,10,10,
15.5,10,10,10,
15.6,10,10,10,
15.7,10,10,10,
15.8,10,10,10,
15.9,10,10,10,
16.0,10,10,10,
16.1,10,10,10,
16.2,10,10,10,
16.3,10,10,10,
16.4,10,10,10,
16.5,10,10,10,
16.6,10,10,10,
16.7,10,10,10,
16.8,10,10,10,
16.9,10,10,10,
17.0,10,10,10,
17.1,10,10,10,
17.2,10,10,10,
17.3,10,10,10,
17.4,10,10,10,
17.5,10,10,10,
17.6,10,10,10,
17.7,10,10,10,
17.8,10,10,10,
